match_day,team1,team2,score1,score2
1,17,18,1,1
1,2,16,4,2
1,9,21,4,0
1,25,15,0,1
1,6,24,3,1
1,11,4,2,3
1,13,12,2,1
1,32,27,2,1
1,29,30,2,1
1,1,28,1,0

2,21,17,0,1
2,16,29,3,0
2,30,9,0,1
2,12,1,1,0
2,4,13,1,1
2,15,32,2,1
2,18,6,1,0
2,24,2,3,2
2,27,25,1,2
2,28,11,1,2

3,17,12,3,0
3,2,15,0,0
3,25,16,0,3
3,9,27,1,1
3,1,18,3,0
3,6,28,0,0
3,11,21,0,3
3,13,30,0,5
3,32,24,2,1
3,29,4,4,1

4,27,2,1,2
4,24,11,2,3
4,16,9,1,3
4,4,1,0,4
4,12,6,2,1
4,18,13,1,2
4,21,32,2,1
4,28,29,3,2
4,30,25,1,1
4,15,17,2,1

5,13,11,2,2
5,16,21,6,0
5,27,30,0,0
5,9,17,1,1
5,28,2,1,2
5,6,1,1,3
5,4,12,1,0
5,15,24,0,0
5,29,18,3,1
5,25,32,2,0

6,30,16,2,1
6,21,27,2,0
6,1,13,1,2
6,2,25,2,1
6,12,29,1,2
6,17,6,2,0
6,32,28,0,1
6,18,4,1,2
6,24,9,0,2
6,11,15,0,2

7,11,18,2,2
7,9,2,2,0
7,16,15,2,3
7,21,24,2,1
7,27,13,0,1
7,29,6,1,3
7,4,17,0,2
7,25,1,1,1
7,28,12,1,0
7,30,32,0,1

8,18,16,2,2
8,24,27,2,1
8,13,29,1,0
8,17,28,4,0
8,1,11,3,1
8,2,21,0,0
8,6,4,0,0
8,12,25,0,0
8,15,30,3,2
8,32,9,0,5

9,21,12,1,1
9,29,1,0,2
9,16,24,3,0
9,27,6,2,0
9,30,2,0,4
9,9,15,0,1
9,4,32,1,1
9,28,13,0,3
9,25,18,2,1
9,11,17,1,1

10,1,27,4,4
10,6,11,0,1
10,15,21,1,0
10,17,29,2,0
10,32,16,2,0
10,2,4,3,2
10,12,30,2,0
10,13,9,0,3
10,24,25,1,0
10,18,28,2,1

11,18,2,2,0
11,6,16,2,0
11,27,15,2,1
11,9,25,5,0
11,17,13,4,3
11,32,29,1,1
11,21,30,1,2
11,24,1,2,1
11,28,4,2,2
11,11,12,1,0

12,12,18,2,1
12,2,32,1,2
12,16,27,1,2
12,4,9,0,2
12,15,28,3,0
12,13,6,0,1
12,25,21,1,2
12,29,11,1,3
12,1,17,2,1
12,30,24,0,0

13,13,16,2,2
13,11,32,1,1
13,28,9,0,3
13,1,2,0,2
13,4,25,1,2
13,12,27,2,1
13,17,24,5,0
13,18,30,2,2
13,29,21,0,0
13,6,15,0,2

14,30,11,1,0
14,25,29,0,1
14,27,4,1,0
14,2,17,0,0
14,9,18,0,0
14,15,12,0,0
14,16,1,3,0
14,32,6,1,3
14,21,13,2,2
14,24,28,1,0

15,15,29,0,0
15,9,1,1,2
15,21,4,3,2
15,27,11,0,1
15,16,17,0,1
15,2,12,0,0
15,32,18,0,0
15,24,13,1,1
15,25,6,1,4
15,30,28,2,1

16,29,27,0,2
16,11,2,2,3
16,28,21,1,1
16,17,25,1,0
16,1,30,1,0
16,4,15,1,3
16,6,9,0,2
16,13,32,2,1
16,18,24,2,2
16,12,16,1,1

17,9,29,1,1
17,21,18,0,3
17,27,17,0,0
17,2,6,4,2
17,15,13,2,2
17,16,11,0,1
17,24,12,0,0
17,25,28,4,0
17,30,4,3,0
17,32,1,1,1

18,17,30,1,0
18,11,9,0,0
18,1,15,1,1
18,18,27,2,1
18,28,16,2,1
18,29,2,0,1
18,4,24,3,0
18,6,21,2,1
18,12,32,3,0
18,13,25,1,4

19,2,1,2,2
19,15,6,3,0
19,16,13,5,1
19,32,11,0,1
19,25,4,0,0
19,30,18,2,1
19,9,28,2,0
19,21,29,1,4
19,27,12,0,0
19,24,17,0,1

20,13,2,0,1
20,17,32,1,0
20,4,16,2,2
20,1,21,1,0
20,6,30,0,1
20,11,25,3,0
20,12,9,2,2
20,28,27,2,0
20,29,24,2,1
20,18,15,1,5

21,12,4,1,2
21,21,16,2,0
21,17,9,3,0
21,30,27,1,0
21,24,15,0,0
21,1,6,1,0
21,11,13,2,0
21,32,25,1,1
21,18,29,2,2
21,2,28,2,1

22,15,11,1,1
22,27,21,1,1
22,29,12,3,1
22,13,1,1,3
22,4,18,3,0
22,6,17,0,1
22,9,24,2,1
22,16,30,1,0
22,25,2,1,2
22,28,32,3,0

23,4,6,2,2
23,11,1,1,1
23,29,13,2,0
23,9,32,2,0
23,16,18,2,1
23,30,15,1,1
23,28,17,0,5
23,21,2,0,1
23,27,24,3,1
23,25,12,1,0

24,15,9,2,0
24,18,25,1,1
24,17,11,1,0
24,1,29,0,0
24,2,30,0,0
24,6,27,3,2
24,12,21,3,1
24,13,28,2,2
24,32,4,0,0
24,24,16,1,0

25,29,17,0,1
25,27,1,0,0
25,21,15,2,3
25,4,2,0,2
25,9,13,0,0
25,11,6,3,0
25,25,24,2,0
25,28,18,2,3
25,30,12,0,0
25,16,32,1,0

26,13,27,1,2
26,18,11,0,0
26,15,16,1,1
26,12,28,2,0
26,17,4,2,1
26,1,25,0,0
26,6,29,2,1
26,32,30,0,0
26,24,21,2,2
26,2,9,0,1

27,17,21,2,0
27,25,27,1,1
27,2,24,2,2
27,6,18,1,0
27,13,4,1,2
27,29,16,1,0
27,1,12,0,0
27,9,30,2,1
27,32,15,2,0
27,11,28,2,0

28,4,11,0,0
28,12,13,0,1
28,27,32,4,0
28,16,2,2,0
28,18,17,1,2
28,24,6,2,0
28,30,29,0,1
28,15,25,2,0
28,21,9,0,1
28,28,1,1,3

29,29,28,0,0
29,2,27,1,2
29,9,16,1,0
29,1,4,4,0
29,6,12,1,3
29,11,24,3,1
29,13,18,1,1
29,32,21,1,1
29,25,30,1,2
29,17,15,1,4

30,15,2,5,0
30,16,25,1,0
30,30,13,1,0
30,18,1,1,3
30,4,29,1,1
30,12,17,2,0
30,24,32,1,0
30,27,9,1,0
30,28,6,1,1
30,21,11,2,1

31,17,2,3,2
31,11,30,4,0
31,12,15,0,1
31,1,16,2,0
31,6,32,4,1
31,13,21,0,0
31,18,9,0,2
31,28,24,0,2
31,29,25,2,0
31,4,27,2,1

32,16,12,1,3
