match_day,team1,team2,score1,score2
1,27,11,2,0
1,16,26,4,0
1,28,17,1,2
1,24,9,0,0
1,18,1,0,0
1,4,31,1,2
1,12,2,0,0
1,15,25,1,1
1,20,6,0,4
1,30,19,1,1

2,17,27,3,0
2,6,16,2,3
2,31,12,2,0
2,19,24,1,1
2,9,28,2,1
2,2,4,3,1
2,11,20,0,1
2,26,30,0,0
2,1,15,0,2
2,25,18,0,1

3,17,1,8,2
3,28,24,0,1
3,27,16,1,5
3,18,12,2,1
3,15,6,3,1
3,4,11,0,1
3,9,19,3,1
3,26,25,0,0
3,30,20,2,0
3,2,31,0,0

4,20,18,0,0
4,12,4,1,1
4,19,28,0,1
4,6,17,0,5
4,1,26,1,0
4,11,2,2,2
4,16,30,3,0
4,24,15,1,0
4,25,9,1,2
4,31,27,0,2

5,17,9,3,1
5,12,16,2,2
5,25,24,4,0
5,27,15,4,0
5,2,18,1,1
5,6,19,1,2
5,11,30,3,1
5,26,28,3,0
5,31,20,0,3
5,4,1,4,3

6,19,25,2,1
6,20,2,1,1
6,24,17,1,1
6,1,6,3,0
6,9,26,4,1
6,15,31,2,1
6,18,4,3,1
6,28,12,0,0
6,30,27,1,2
6,16,11,2,0

7,27,1,2,1
7,12,20,6,0
7,26,24,2,0
7,6,9,1,5
7,2,30,2,0
7,4,16,0,4
7,17,19,2,0
7,25,28,2,2
7,31,18,1,2
7,11,15,0,2

8,18,27,2,2
8,1,25,2,1
8,28,31,2,0
8,9,11,3,1
8,16,2,4,1
8,19,26,3,1
8,20,4,1,1
8,24,12,2,0
8,30,6,1,3
8,15,17,1,1

9,20,9,1,0
9,4,27,1,2
9,1,24,3,1
9,12,11,1,3
9,17,16,1,6
9,15,19,1,1
9,2,28,1,2
9,6,25,0,2
9,18,30,1,0
9,31,26,2,2

10,24,18,1,3
10,27,20,3,1
10,28,15,0,2
10,16,31,3,1
10,19,4,3,3
10,25,2,2,2
10,26,6,3,1
10,30,12,0,2
10,9,1,3,5
10,11,17,0,1

11,12,27,1,3
11,6,24,5,0
11,31,30,3,1
11,20,16,2,3
11,1,28,3,0
11,2,19,3,2
11,4,9,0,1
11,15,26,0,0
11,17,25,1,0
11,18,11,2,1

12,27,2,2,0
12,9,15,1,2
12,26,17,0,1
12,11,31,2,1
12,16,18,3,1
12,24,20,2,3
12,25,12,0,0
12,28,6,2,1
12,30,4,3,3
12,19,1,1,2

13,15,16,1,1
13,26,2,0,0
13,1,12,1,1
13,6,11,0,2
13,9,31,3,0
13,17,18,1,1
13,19,20,2,1
13,25,30,1,2
13,28,27,1,3
13,24,4,3,1

14,12,15,1,0
14,31,25,2,1
14,11,24,0,1
14,2,17,0,1
14,4,26,4,2
14,16,19,5,1
14,20,28,1,1
14,27,6,3,0
14,30,1,0,4
14,18,9,0,3

15,9,16,2,1
15,24,27,2,1
15,25,4,2,1
15,1,11,1,0
15,6,2,1,2
15,15,20,1,0
15,17,31,4,1
15,19,18,4,2
15,26,12,2,0
15,28,30,1,2

16,16,1,1,0
16,27,25,1,0
16,2,15,0,2
16,20,17,0,2
16,30,9,1,1
16,4,28,1,2
16,11,19,1,1
16,12,6,2,0
16,18,26,0,0
16,31,24,1,2

17,27,9,1,1
17,11,26,1,0
17,12,17,0,5
17,20,25,2,3
17,30,15,0,0
17,2,1,1,2
17,16,24,3,0
17,18,28,2,3
17,4,6,1,2
17,31,19,2,2

18,19,27,0,2
18,26,20,1,1
18,1,31,1,1
18,24,2,0,0
18,6,18,0,2
18,15,4,1,1
18,17,30,5,0
18,25,11,1,1
18,28,16,0,0
