day,month,year,team1,team2,score1,score2
20,08,2012,11,17,1,0
19,08,2012,16,23,3,2
19,08,2012,30,9,0,2
18,08,2012,18,27,2,1
18,08,2012,1,25,0,0
18,08,2012,12,19,5,0
18,08,2012,20,26,0,5
18,08,2012,22,24,1,1
18,08,2012,28,15,3,0
18,08,2012,29,2,1,0

11,12,2012,25,22,3,0
26,08,2012,15,16,2,2
26,08,2012,24,1,0,0
25,08,2012,9,18,2,0
25,08,2012,2,11,1,3
25,08,2012,17,12,3,2
25,08,2012,19,20,1,1
25,08,2012,23,30,0,2
25,08,2012,27,28,1,1
25,08,2012,26,29,3,0

02,09,2012,18,2,1,1
02,09,2012,23,17,2,3
02,09,2012,15,1,0,2
01,09,2012,16,20,3,1
01,09,2012,26,25,2,2
01,09,2012,27,19,1,1
01,09,2012,28,11,2,0
01,09,2012,30,24,2,2
01,09,2012,29,12,3,0
22,08,2012,9,22,4,2

17,09,2012,11,18,2,2
16,09,2012,22,27,1,3
15,09,2012,25,15,1,1
15,09,2012,1,23,6,1
15,09,2012,2,26,2,0
15,09,2012,12,28,3,0
15,09,2012,17,30,4,0
15,09,2012,20,9,0,0
15,09,2012,24,16,1,1
15,09,2012,19,29,0,0

23,09,2012,16,1,1,1
23,09,2012,27,20,2,1
23,09,2012,18,19,1,0
23,09,2012,15,17,1,2
22,09,2012,9,24,1,0
22,09,2012,23,2,4,1
22,09,2012,28,22,1,0
22,09,2012,29,25,1,1
22,09,2012,30,12,1,2
22,09,2012,26,11,0,3

01,10,2012,20,29,1,2
30,09,2012,2,28,1,1
29,09,2012,17,27,2,3
29,09,2012,11,23,3,1
29,09,2012,12,16,1,2
29,09,2012,19,15,2,5
29,09,2012,22,18,2,2
29,09,2012,24,26,2,0
29,09,2012,25,30,1,0
29,09,2012,1,9,1,2

07,10,2012,18,17,0,3
07,10,2012,15,24,0,0
07,10,2012,27,2,2,0
07,10,2012,23,12,2,2
06,10,2012,29,1,1,3
06,10,2012,9,19,4,1
06,10,2012,26,22,2,2
06,10,2012,28,20,3,2
06,10,2012,30,11,2,2
06,10,2012,16,25,3,0

21,10,2012,20,11,1,1
21,10,2012,25,18,1,1
20,10,2012,19,1,1,0
20,10,2012,12,2,1,0
20,10,2012,15,22,1,0
20,10,2012,17,24,4,2
20,10,2012,26,30,2,1
20,10,2012,28,16,1,2
20,10,2012,29,23,4,1
20,10,2012,27,9,2,4

28,10,2012,9,17,2,3
28,10,2012,18,28,2,1
28,10,2012,23,27,1,2
28,10,2012,11,15,2,2
27,10,2012,16,26,1,0
27,10,2012,1,20,1,0
27,10,2012,22,12,3,3
27,10,2012,24,25,0,0
27,10,2012,30,29,2,1
27,10,2012,2,19,1,1

05,11,2012,28,23,2,0
04,11,2012,15,18,1,1
04,11,2012,20,22,1,1
03,11,2012,29,16,0,0
03,11,2012,12,11,2,2
03,11,2012,19,24,1,0
03,11,2012,25,2,0,1
03,11,2012,26,9,1,1
03,11,2012,27,30,0,1
03,11,2012,17,1,2,1

11,11,2012,9,15,1,1
11,11,2012,18,29,0,1
11,11,2012,16,27,2,1
10,11,2012,2,17,2,3
10,11,2012,1,12,3,3
10,11,2012,11,25,2,1
10,11,2012,22,19,0,0
10,11,2012,23,26,1,1
10,11,2012,24,20,1,0
10,11,2012,30,28,1,2

19,11,2012,29,24,1,1
18,11,2012,12,25,1,3
17,11,2012,19,17,1,0
17,11,2012,15,30,3,0
17,11,2012,16,2,5,0
17,11,2012,18,26,1,2
17,11,2012,20,23,1,3
17,11,2012,22,11,2,1
17,11,2012,28,9,2,1
17,11,2012,1,27,5,2

25,11,2012,9,16,0,0
25,11,2012,27,29,3,1
25,11,2012,23,18,2,0
25,11,2012,26,15,0,0
24,11,2012,2,1,0,0
24,11,2012,11,19,1,1
24,11,2012,17,20,3,1
24,11,2012,24,12,1,0
24,11,2012,30,22,3,2
24,11,2012,25,28,2,4

28,11,2012,17,29,1,0
28,11,2012,30,16,0,2
28,11,2012,9,12,0,0
28,11,2012,11,1,1,1
28,11,2012,23,19,1,1
28,11,2012,24,18,2,1
28,11,2012,26,28,3,1
28,11,2012,27,15,2,1
27,11,2012,2,22,1,0
27,11,2012,25,20,0,0

03,12,2012,18,30,3,0
02,12,2012,19,25,2,1
01,12,2012,22,17,3,4
01,12,2012,1,26,0,2
01,12,2012,12,27,0,3
01,12,2012,15,23,1,0
01,12,2012,16,11,1,1
01,12,2012,20,2,1,1
01,12,2012,28,24,0,1
01,12,2012,29,9,3,1

10,12,2012,12,18,2,1
09,12,2012,29,15,2,3
09,12,2012,11,27,2,1
09,12,2012,16,17,2,3
08,12,2012,1,28,2,0
08,12,2012,2,24,0,0
08,12,2012,23,22,1,0
08,12,2012,25,9,1,3
08,12,2012,26,19,3,4
08,12,2012,30,20,2,2

16,01,2013,9,23,2,2
17,12,2012,22,1,2,5
16,12,2012,28,29,0,0
16,12,2012,27,26,1,0
15,12,2012,15,2,1,3
15,12,2012,17,25,3,1
15,12,2012,19,30,2,1
15,12,2012,20,12,2,1
15,12,2012,24,11,1,1
15,12,2012,18,16,1,3

23,12,2012,9,2,8,0
23,12,2012,26,17,1,1
22,12,2012,15,12,4,0
22,12,2012,16,22,1,0
22,12,2012,18,20,1,0
22,12,2012,23,25,0,1
22,12,2012,27,24,0,0
22,12,2012,28,19,2,1
22,12,2012,29,11,1,2
22,12,2012,30,1,0,1

23,01,2013,1,29,5,1
26,12,2012,24,15,3,1
26,12,2012,2,27,0,4
26,12,2012,20,28,1,2
26,12,2012,11,30,2,1
26,12,2012,12,23,1,1
26,12,2012,17,18,4,3
26,12,2012,19,9,0,1
26,12,2012,22,26,0,0
26,12,2012,25,16,1,0

30,12,2012,20,15,0,3
30,12,2012,11,9,1,2
29,12,2012,1,18,7,3
29,12,2012,2,30,0,3
29,12,2012,12,26,1,2
29,12,2012,17,28,2,0
29,12,2012,19,16,3,4
29,12,2012,22,29,1,0
29,12,2012,24,23,3,3
29,12,2012,25,27,1,2

02,01,2013,18,11,1,2
02,01,2013,9,20,0,1
02,01,2013,15,25,3,0
01,01,2013,23,1,1,1
01,01,2013,16,24,3,0
01,01,2013,26,2,2,2
01,01,2013,27,22,3,1
01,01,2013,29,19,2,1
01,01,2013,30,17,0,4
01,01,2013,28,12,1,2

13,01,2013,1,16,0,2
13,01,2013,17,15,2,1
12,01,2013,2,23,0,1
12,01,2013,11,26,0,0
12,01,2013,12,30,1,1
12,01,2013,19,18,0,0
12,01,2013,22,28,3,2
12,01,2013,24,9,0,4
12,01,2013,25,29,3,0
