match_day,standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
1,1,9,1,1,0,0,6,0,3,1,0,0,6,0,3,0,0,0,0,0,0
1,2,5,1,1,0,0,4,0,3,0,0,0,0,0,0,1,0,0,4,0,3
1,3,17,1,1,0,0,3,0,3,1,0,0,3,0,3,0,0,0,0,0,0
1,4,2,1,1,0,0,3,0,3,1,0,0,3,0,3,0,0,0,0,0,0
1,5,31,1,1,0,0,2,1,3,1,0,0,2,1,3,0,0,0,0,0,0
1,6,4,1,1,0,0,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0
1,7,25,1,0,1,0,2,2,1,0,1,0,2,2,1,0,0,0,0,0,0
1,8,3,1,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,1
1,9,15,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
1,10,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
1,11,27,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,12,16,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,13,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,14,12,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,15,24,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0
1,16,11,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,17,29,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0
1,18,18,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0
1,19,30,1,0,0,1,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0
1,20,28,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,6,0

2,1,9,2,2,0,0,12,0,6,1,0,0,6,0,3,1,0,0,6,0,3
2,2,1,2,1,1,0,7,1,4,1,0,0,6,0,3,0,1,0,1,1,1
2,3,17,2,1,1,0,5,2,4,1,0,0,3,0,3,0,1,0,2,2,1
2,4,16,2,1,1,0,3,0,4,1,0,0,3,0,3,0,1,0,0,0,1
2,5,6,2,1,1,0,3,1,4,0,1,0,0,0,1,1,0,0,3,1,3
2,6,3,2,1,1,0,4,3,4,1,0,0,2,1,3,0,1,0,2,2,1
2,7,31,2,1,1,0,3,2,4,1,0,0,2,1,3,0,1,0,1,1,1
2,8,27,2,1,1,0,2,1,4,0,1,0,0,0,1,1,0,0,2,1,3
2,9,18,2,1,0,1,6,3,3,1,0,0,6,0,3,0,0,1,0,3,0
