standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
1,9,1,1,0,0,3,1,3,0,0,0,0,0,0,1,0,0,3,1,3
2,16,1,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,2,0,3
3,15,1,1,0,0,2,1,3,1,0,0,2,1,3,0,0,0,0,0,0
4,1,1,1,0,0,2,1,3,1,0,0,2,1,3,0,0,0,0,0,0
5,26,1,1,0,0,2,1,3,0,0,0,0,0,0,1,0,0,2,1,3
6,13,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3
7,2,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3
8,27,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,3
9,14,1,0,1,0,2,2,1,0,1,0,2,2,1,0,0,0,0,0,0
10,28,1,0,1,0,2,2,1,0,1,0,2,2,1,0,0,0,0,0,0
11,25,1,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,1
12,11,1,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,1
13,10,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0
14,23,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0
15,17,1,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0
16,29,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
17,20,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
18,24,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
19,7,1,0,0,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0
20,18,1,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0

1,27,2,2,0,0,5,0,6,1,0,0,4,0,3,1,0,0,1,0,3
2,9,2,2,0,0,5,1,6,1,0,0,2,0,3,1,0,0,3,1,3
3,16,2,2,0,0,5,1,6,1,0,0,3,1,3,1,0,0,2,0,3
4,26,2,2,0,0,3,1,6,1,0,0,1,0,3,1,0,0,2,1,3
5,1,2,1,1,0,4,3,4,1,0,0,2,1,3,0,1,0,2,2,1
6,13,2,1,1,0,2,1,4,0,1,0,1,1,1,1,0,0,1,0,3
7,2,2,1,1,0,1,0,4,0,1,0,0,0,1,1,0,0,1,0,3
8,29,2,1,0,1,3,2,3,0,0,1,0,1,0,1,0,0,3,1,3
9,15,2,1,0,1,3,4,3,1,0,0,2,1,3,0,0,1,1,3,0
10,11,2,0,2,0,4,4,2,0,1,0,2,2,1,0,1,0,2,2,1
11,25,2,0,2,0,3,3,2,0,1,0,1,1,1,0,1,0,2,2,1
12,28,2,0,2,0,2,2,2,0,1,0,2,2,1,0,1,0,0,0,1
13,17,2,0,1,1,2,3,1,0,0,1,1,2,0,0,1,0,1,1,1
14,24,2,0,1,1,1,2,1,0,0,1,0,1,0,0,1,0,1,1,1
15,23,2,0,1,1,1,2,1,0,1,0,0,0,1,0,0,1,1,2,0
16,14,2,0,1,1,2,4,1,0,1,0,2,2,1,0,0,1,0,2,0
17,18,2,0,1,1,0,2,1,0,0,1,0,2,0,0,1,0,0,0,1
18,10,2,0,0,2,2,5,0,0,0,1,1,3,0,0,0,1,1,2,0
19,7,2,0,0,2,1,4,0,0,0,1,1,3,0,0,0,1,0,1,0
20,20,2,0,0,2,0,5,0,0,0,1,0,1,0,0,0,1,0,4,0

1,9,3,3,0,0,11,4,9,1,0,0,2,0,3,2,0,0,9,4,6
2,26,3,3,0,0,6,1,9,2,0,0,4,0,6,1,0,0,2,1,3
3,2,3,2,1,0,3,1,7,1,1,0,2,1,4,1,0,0,1,0,3
4,16,3,2,0,1,5,2,6,1,0,1,3,2,3,1,0,0,2,0,3
5,15,3,2,0,1,6,4,6,1,0,0,2,1,3,1,0,1,4,3,3
6,27,3,2,0,1,5,3,6,1,0,1,4,3,3,1,0,0,1,0,3
7,1,3,1,2,0,5,4,5,1,0,0,2,1,3,0,2,0,3,3,2
8,23,3,1,1,1,4,3,4,0,1,0,0,0,1,1,0,1,4,3,3
9,13,3,1,1,1,3,3,4,0,1,0,1,1,1,1,0,1,2,2,3
10,24,3,1,1,1,2,2,4,0,0,1,0,1,0,1,1,0,2,1,4
11,29,3,1,0,2,4,5,3,0,0,2,1,4,0,1,0,0,3,1,3
12,20,3,1,0,2,1,5,3,1,0,1,1,1,3,0,0,1,0,4,0
13,25,3,0,2,1,3,4,2,0,1,0,1,1,1,0,1,1,2,3,1
14,17,3,0,2,1,2,3,2,0,0,1,1,2,0,0,2,0,1,1,2
15,14,3,0,2,1,3,5,2,0,2,0,3,3,2,0,0,1,0,2,0
16,18,3,0,2,1,3,5,2,0,1,1,3,5,1,0,1,0,0,0,1
17,11,3,0,2,1,7,10,2,0,1,1,5,8,1,0,1,0,2,2,1
18,28,3,0,2,1,2,5,2,0,1,0,2,2,1,0,1,1,0,3,1
19,10,3,0,1,2,5,8,1,0,0,1,1,3,0,0,1,1,4,5,1
20,7,3,0,1,2,1,4,1,0,1,1,1,3,1,0,0,1,0,1,0

1,9,4,4,0,0,15,6,12,2,0,0,6,2,6,2,0,0,9,4,6
2,2,4,3,1,0,4,1,10,1,1,0,2,1,4,2,0,0,2,0,6
3,26,4,3,0,1,8,5,9,2,0,0,4,0,6,1,0,1,4,5,3
4,23,4,2,1,1,8,3,7,1,1,0,4,0,4,1,0,1,4,3,3
5,16,4,2,1,1,7,4,7,1,0,1,3,2,3,1,1,0,4,2,4
6,27,4,2,1,1,7,5,7,1,0,1,4,3,3,1,1,0,3,2,4
7,1,4,1,3,0,7,6,6,1,1,0,4,3,4,0,2,0,3,3,2
8,15,4,2,0,2,6,5,6,1,0,1,2,2,3,1,0,1,4,3,3
9,17,4,1,2,1,6,3,5,1,0,1,5,2,3,0,2,0,1,1,2
10,13,4,1,2,1,5,5,5,0,2,0,3,3,2,1,0,1,2,2,3
11,11,4,1,2,1,9,10,5,0,1,1,5,8,1,1,1,0,4,2,4
12,14,4,1,2,1,4,5,5,0,2,0,3,3,2,1,0,1,1,2,3
13,29,4,1,1,2,6,7,4,0,0,2,1,4,0,1,1,0,5,3,4
14,24,4,1,1,2,2,3,4,0,0,2,0,2,0,1,1,0,2,1,4
15,25,4,0,3,1,5,6,3,0,2,0,3,3,2,0,1,1,2,3,1
16,20,4,1,0,3,1,9,3,1,0,1,1,1,3,0,0,2,0,8,0
17,10,4,0,2,2,5,8,2,0,1,1,1,3,1,0,1,1,4,5,1
18,7,4,0,2,2,1,4,2,0,1,1,1,3,1,0,1,1,0,1,1
19,28,4,0,2,2,2,7,2,0,1,1,2,4,1,0,1,1,0,3,1
20,18,4,0,2,2,3,9,2,0,1,1,3,5,1,0,1,1,0,4,1

