result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
1,1,1.2763157895,2,1.3947368421,1.25,1.4605263158,8,1.75,2.1315789474,0.7236842105,1.8947368421,2
1,3,2.3289473684,0,0.6052631579,1,1.9473684211,1,0,0.9210526316,1.6315789474,1.2105263158,20
2,0.25,1.6842105263,2.25,0.9210526316,0.75,1.4473684211,5,2.5,2.0394736842,0.8947368421,1.8684210526,4
2,1.75,1.6052631579,0.75,1.3026315789,1.5,1.6447368421,6,1,1.1184210526,1.2631578947,0.8947368421,11
2,1.25,1.3026315789,1.75,1.4210526316,1.5,1.1842105263,15,1.25,1.3815789474,1.3552631579,1.3552631579,10
2,1.75,1.0263157895,1,1.4078947368,1.75,1.0131578947,13,1,0.9868421053,1.4868421053,0.9210526316,16
2,1,1.2894736842,1.25,1.2763157895,1,1.1315789474,14,1.75,1.1710526316,1.2368421053,1.0131578947,7
1,2,2.2105263158,0,0.6578947368,1.5,1.75,3,0.5,0.9210526316,1.6842105263,1.0263157895,17
2,0.75,1.4025974026,1.25,1.3376623377,0.5,1.3636363636,4,2.25,1.6623376623,0.987012987,1.4415584416,20
1,3,2.0519480519,0.75,0.8961038961,2.25,1.9220779221,1,0,1.012987013,1.4025974026,1,15
1,0.5,1.1948051948,1.5,1.2207792208,1,1.012987013,8,2,1.2857142857,1.4285714286,1.1688311688,16
1,0.5,1.3376623377,1.25,1.2337662338,0.75,1.1168831169,5,2,1.5844155844,1.3116883117,1.6233766234,18
1,1,2.1038961039,0,0.7402597403,0,1.8831168831,11,1,1.2307692308,1.4102564103,1.0256410256,2
1,0,0.8974358974,3,1.6153846154,1,1.1794871795,14,3,1.2727272727,1.2727272727,1.1168831169,13
2,1.5,0.8974358974,1,1.6923076923,1,1.0256410256,12,1.5,1.2987012987,1.3896103896,1.4675324675,7
2,0,1.012987013,2.75,1.4675324675,0.5,0.9220779221,10,3,2.2207792208,0.6623376623,1.7532467532,6
2,2,2.1153846154,0.75,0.7307692308,2.25,1.9102564103,6,0.5,1.5641025641,1.3205128205,1.6153846154,18
2,0.5,1.2179487179,1.75,1.2051282051,1,1.0384615385,3,2,2.2307692308,0.6666666667,1.7692307692,4
2,0.25,1.358974359,2,1.2307692308,0.25,1.1282051282,5,2.5,1.3205128205,1.3846153846,1.5128205128,2
1,2.5,2.0641025641,0.25,0.9102564103,1.75,1.9487179487,1,0.25,1.2564102564,1.2692307692,1.1025641026,16
1,0.5,0.875,1,1.775,0.5,1.025,19,2,1,1.4358974359,1.0128205128,17
1,1,1,1,1.4871794872,0.75,0.9230769231,11,1.75,1.2692307692,1.4487179487,1.1538461538,20
2,0,1.1282051282,2.25,1.2435897436,0.25,0.8974358974,7,3,2.3076923077,0.6025641026,1.9102564103,9
1,1,1.582278481,1.5,1.3164556962,1,1.6329113924,13,1.75,1.2025316456,1.2151898734,1.0253164557,6
1,2.25,1.6582278481,0.75,0.9746835443,2,1.4303797468,16,0.75,1.1139240506,1.2911392405,0.8860759494,17
2,1,1.2405063291,2.25,1.3037974684,0.75,1.1012658228,19,1.75,1.4050632911,1.3291139241,1.3417721519,7
1,1.25,2.3164556962,1.25,0.5949367089,1.25,1.9493670886,4,1.25,2.0759493671,0.9113924051,1.9746835443,1
